id,x,y,ratio
1,0.46181500128776165,0.48109927535119057,1.0417575739411997
2,0.5672559443202573,0.3162536472230413,0.557514910843302
3,0.4890016654047354,0.26341732558175,0.5386839027710173
4,0.6398875670334034,0.3648799118065812,0.5702250373424332
5,0.17361412950024882,0.27611744101873764,1.5904088095453195
6,0.18625634214626088,0.10962862896466316,0.5885900458550585
7,0.43210717456392644,0.2264864774808671,0.5241442188721641
8,0.5024181176970427,0.25934217675238946,0.5161879470850858
9,0.2834661252152147,0.4112140502316121,1.4506638136017416
10,0.35063629342710845,0.2903671639375979,0.8281149709277329
11,0.1603650128002524,0.2702366442423227,1.6851346782164032
12,0.19682713735959143,0.3967559429994986,2.015758336588766
13,0.4824189742150953,0.30034035402521214,0.6225716028559439
14,0.5483311731723695,0.14898285782014842,0.2717023308344996
15,0.6379137140781621,0.2211272291792672,0.3466412843919091
16,0.15476227416740512,0.2637735525596913,1.7043788867716532
17,0.5210185935503782,0.3272327124917074,0.628063406071259
18,0.5754911135761469,0.22831359905617982,0.3967282789779693
19,0.6510981007093741,0.15994515039394253,0.24565445701604968
20,0.5364864672767202,0.19180837763162079,0.35752696355094793
21,0.3652764837011728,0.15984845157535021,0.4376094785946303
22,0.5676769948742335,0.24312369909358791,0.4282782309109619
23,0.5514463420218756,0.2071538062936785,0.3756554183207562
24,0.14599914593357466,0.13987477745138835,0.9580520252839512
25,0.559652138342011,0.2635284180195575,0.4708789620643095
26,0.3941554764959279,0.25448496145453237,0.6456461387189719
27,0.5420748372595731,0.22474480330897392,0.4146010621801924
28,0.4133578473789816,0.1694409213897073,0.40991340182386243
29,0.15935733598265384,0.4413640038294428,2.7696497378538356
30,0.14949545607107442,0.32545194998909344,2.1770022885134668
31,0.2121977441623901,0.28506340036285976,1.3433856306441563
32,0.5402485856116729,0.3478055437247577,0.6437879764756257
33,0.5621148536804653,0.28601235392044205,0.5088147947839607
34,0.3742100481723747,0.18266798451905417,0.4881429170894703
35,0.6115763403044308,0.27422656995122735,0.4483930326910991
36,0.11717117687219057,0.324613891097111,2.7704244316944715
37,0.5769014642032341,0.3402441208613772,0.5897785704726762
38,0.6079227046296491,0.24350389654486748,0.4005507520782791
39,0.4586417723838881,0.5087417249969997,1.1092354766394399
40,0.17768609215624023,0.22437535380204499,1.2627626117453845
41,0.4812683976175185,0.47003299137777366,0.9766545937872405
42,0.5136321860227975,0.19796893318817163,0.3854293764592564
43,0.08853598549099129,0.23526208734196952,2.6572481916509294
44,0.5552778305981149,0.36704337014861216,0.6610085076748934
45,0.5176015124148843,0.30440884970995774,0.5881142972124053
46,0.15266427682709216,0.1379626967604342,0.9036999331329556
47,0.7471561967990619,0.14776869777353588,0.19777484066464404
48,0.6031605339337246,0.23864402228801682,0.3956558973307081
49,0.5532960271788917,0.30281881954982304,0.547299826268074
50,0.5390978249125402,0.4247066038113612,0.7878099005134419
51,0.6189034447648162,0.2282940656803304,0.36886862985078767
52,0.26793469111892765,0.46305949199139407,1.7282550835713049
53,0.6144562423064607,0.32819364438870746,0.5341204495812096
54,0.7362823166694821,0.21580927308354497,0.29310669046045007
55,0.4494345529079197,0.2040779098931085,0.4540770365177509
56,0.23023963007475282,0.23481415388351468,1.0198685335242965
57,0.15503296872780065,0.22692246660483356,1.4637045814639142
58,0.15858284447498597,0.24609824290605048,1.551859179476811
59,0.15678173343926585,0.3190686052913799,2.0351133916693223
60,0.3907763765812118,0.3266831674044039,0.8359849442856792
61,0.6013170536739122,0.296650724950426,0.4933349605469472
62,0.4244817373626672,0.264423607161545,0.6229328234576738
63,0.33381101567488225,0.560274616139948,1.6784185956452429
64,0.5135642753743733,0.3177701671111525,0.6187544234448694
65,0.5475390438719133,0.2738990098429078,0.5002364907277397
66,0.5111474037785206,0.19402209467875783,0.3795814930184548
67,0.5352835971894137,0.2851863617941528,0.5327762017957701
68,0.4552243196005178,0.28127765754094547,0.6178880288904177
69,0.5194197669931704,0.21015719765927265,0.4045999228636131
70,0.5277872026924599,0.38990678839879617,0.7387575644307423
71,0.19310492583952943,0.1995906618977154,1.0335865904507047
72,0.5204563209159145,0.26047374964333575,0.5004718728075899
73,0.4953692102372792,0.31441336132347836,0.6347050943535147
74,0.15006655806277122,0.3783992889631507,2.5215430662764344
75,0.6030362333916874,0.3971915585015774,0.6586528910006496
76,0.061896204846935504,0.382198215220121,6.174824711228538
77,0.5874698081548345,0.15285781014174363,0.2601968782393259
78,0.20172909636983682,0.13737883362698278,0.6810065384674181
79,0.5226915112856394,0.24724520289772275,0.47302318396100507
80,0.5284661224538387,0.20069852257442322,0.379775569420638
81,0.6857357678954072,0.3214146064763327,0.4687149504579392
82,0.3740042923693879,0.2615037479978457,0.6991998576839051
83,0.5405815828662284,0.11998659309615134,0.221958344307566
84,0.7707851804691135,0.48002061286067155,0.6227683471658375
85,0.4614193808615612,0.2923121560338616,0.6335064545577974
86,0.6074241992078664,0.42330628265918957,0.6968874193870075
87,0.6192251335971797,0.30170155927842063,0.487224343633772
88,0.638928600635217,0.23233169617146007,0.36362700924716473
89,0.46641721391100877,0.2613339572066728,0.5603008409902612
90,0.609748155322647,0.28740544933451234,0.4713510763840398
91,0.4663623977756169,0.2508996874618097,0.5379929613933545
92,0.6255725643048982,0.43219101757225237,0.6908727176238607
93,0.5427550823140684,0.35025122772740436,0.6453209544055994
94,0.32458334456766796,0.22117765025457456,0.6814202082647659
95,0.5335151095608007,0.26752104337518257,0.5014310533686867
96,0.5419942020901102,0.20388520898321283,0.37617599634269805
97,0.19541600012267224,0.2587178063201104,1.3239335886401342
98,0.6220361912322395,0.20238581142068843,0.3253601868723534
99,0.617155976812024,0.2804095294629457,0.4543576340480844
100,0.3358797598293667,0.31453465708691464,0.936450166710564
101,0.6283632383346119,0.14486470836946586,0.23054294002527792
102,0.42596991310447896,0.258373473165091,0.606553339136229
103,0.5675053934324226,0.45946344227616553,0.8096195165603788
104,0.614599016769644,0.1533021714967971,0.2494344561476183
105,0.6760266585373279,0.36658352799721766,0.5422619409571349
106,0.15125892259129167,0.35137973352773383,2.323034750665106
107,0.5526842051791732,0.3849962213976156,0.6965934936982769
108,0.5671398782266889,0.23777152387432987,0.41924670262614
109,0.5321952882925042,0.15939593658426415,0.29950647833743554
